3:1|29:1,2:1,30:1,31:1,32:1
3:2|10:90,11:14,13:30,16:2,18:39,20:14,20:8,20:98,21:25,23:116,27:26,28:70,28:88,2:163,2:255,35:3,39:6,40:3,40:62,40:65,44:8,47:19,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
3:3|2:97,35:31,46:30,5:46,5:48,61:6
3:4|10:95,14:47,29:23,38:26,39:63,40:63,5:95,62:5
3:5|10:61,14:38,29:22
3:6|11:14,13:30,20:8,20:98,23:116,27:26,28:70,28:88,29:26,2:163,2:255,35:3,39:6,40:3,40:62,40:65,44:8,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
3:7|2:269,6:114
3:8|18:10
3:9|13:31
3:10|58:17,5:41
3:11|8:52,8:54
3:13|24:44,2:154,2:246
3:15|10:9,13:35,14:23,16:31,18:31,20:76,22:14,22:23,25:10,29:58,2:25,2:266,39:20,47:12,48:17,48:5,57:12,58:22,5:119,5:12,5:85,61:12,64:9,65:11,66:8,7:43,85:11,98:8,9:100,9:72,9:89
3:16|23:109
3:18|10:90,11:14,13:30,16:2,20:14,20:8,20:98,21:25,23:116,27:26,28:70,28:88,29:26,2:163,2:255,35:3,39:6,40:3,40:62,40:65,44:8,47:19,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
3:19|14:51,40:17,42:14,45:17,5:4,5:5,98:4
3:20|16:82,2:137
3:21|2:61
3:22|16:37,29:25,2:217,30:29,45:34,9:69,9:74
3:23|24:47,58:14
3:24|10:30,11:21,16:87,28:75,2:80,6:24,7:53
3:25|13:33,14:51,16:111,2:281,39:70,40:17,45:22,74:38
3:26|11:4,16:77,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,33:27,33:55,35:1,41:39,41:53,42:9,46:33,48:21,57:2,59:6,5:117,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,8:41,9:39
3:27|10:31,22:61,24:38,2:212,30:19,31:29,35:13,57:6,6:95
3:28|12:68,35:18
3:29|10:18,10:66,10:68,11:12,11:4,14:2,16:49,16:77,18:45,20:6,22:17,22:18,22:6,22:64,24:45,27:87,29:20,2:106,2:109,2:148,2:20,2:255,2:259,2:284,30:50,31:20,33:27,33:52,34:1,34:22,34:3,35:1,35:44,39:68,41:39,42:4,42:53,42:9,45:13,46:33,48:21,49:16,53:31,57:2,58:6,58:7,59:1,59:6,5:120,5:17,5:19,5:40,5:97,61:1,62:1,64:1,65:12,66:8,67:1,6:17,85:9,8:41,9:39
3:30|16:111,39:70
3:32|30:45
3:33|2:132
3:35|2:127
3:37|13:31,24:38,28:49,2:110,2:212,2:79,8:10
3:38|19:5,37:100
3:40|19:20,19:8,22:18
3:41|19:10
